																					Class	L	R	B	B	B
5717	4.735	1151.58289	Unknown	[M-H]-	adduct linked to 5854_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	16.92	20180104_RG_01R	1151.58289:92895 1152.58624:233256 1153.5896:109307		0	92895	0	0	0
5718	4.138	1151.58313	Unknown	[M-H]-	similar chromatogram in higher mz_5844	0.2	False	null	null	null	null		null	null	null	null	null	1.92	20180104_RG_01R	1151.58313:10534 1152.58648:25950 1153.58984:5928866		0	10534	0	0	0
5719	4.026	1151.58337	Unknown	[M-H]-	similar chromatogram in higher mz_5841	0.2	True	null	null	null	null		null	null	null	null	null	29.85	20180104_RG_01R	1151.58337:163846 1152.58672:513211 1153.59008:182851	83.31763:1904 271.23007:8472 351.18936:2352 417.28351:21063 466.62256:2490 579.34064:14630 1051.50903:3297 1107.53955:7988 1133.58398:6372 1151.57715:24943	0	163846	0	850	0
5720	6.678	1151.8728	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	366.06	20180104_RG_01R	1151.8728:18303 1152.87615:21761 1153.87951:14758		0	18303	0	0	0
5721	5.834	1152.4325	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	11.63	Blank_01_180104225037	1152.4325:27229 1153.43585:28067 1154.43921:56089		0	0	0	27229	20665
5722	6.814	1152.85742	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	701.87	20180104_RG_01R	1152.85742:35094 1153.86077:41344 1154.86413:140153		0	35094	4215	0	0
5723	3.984	1153.55981	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1857.61	20180104_RG_01R	1153.55981:93024 1154.56316:129857 1155.56652:70706		0	93024	610	0	0
5724	3.923	1153.56055	Unknown	[M-H]-	adduct linked to 5858_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	5.58	20180104_RG_01R	1153.56055:40720 1154.5639:52493 1155.56726:54408		0	40720	610	0	0
5725	3.746	1153.56287	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	11.46	20180104_RG_01R	1153.56287:48478 1154.56622:57954 1155.56958:29636		0	48478	0	0	0
5726	4.25	1153.60669	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	6683.43	20180104_RG_01R	1153.60669:334744 1154.61004:874543 1155.6134:4309574		0	334744	0	0	0
5727	4.151	1153.66992	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	546.41	20180104_RG_01R	1153.66992:27320 1154.67327:106875 1155.67663:27362		0	27320	0	0	0
5728	5.548	1154.45239	Unknown	[M+FA-H]-	adduct linked to 5551_[M-H2O-H]-	0.4	False	null	null	null	null		null	null	null	null	null	15.97	20180104_RG_01L	1154.45239:62493 1155.45574:65734 1156.4591:63445		62493	840	15659	45555	7830
5729	6.701	1154.85193	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	1935.31	20180104_RG_01R	1154.85193:140936 1155.85528:133215 1156.85864:74774		0	140936	81207	851	0
5730	6.423	1154.85339	Unknown	[M+FA-H]-	adduct linked to 5614_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	799.9	20180104_RG_01R	1154.85339:39995 1155.85674:55277 1156.8601:48873		0	39995	20945	0	0
5731	2.94	1155.5415	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	404.74	20180104_RG_01R	1155.5415:20237 1156.54485:20720 1157.54821:19258		0	20237	0	0	0
5732	2.866	1155.54407	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	839.47	20180104_RG_01R	1155.54407:41974 1156.54742:86490 1157.55078:0		0	41974	0	0	0
5733	2.591	1155.54736	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	299.15	20180104_RG_01R	1155.54736:14958 1156.55071:25480 1157.55407:17137		0	14958	0	0	346
5734	4.115	1155.56531	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	4.74	20180104_RG_01R	1155.56531:156249 1156.56866:324501 1157.57202:105486	85.52631:2810 87.00838:2934 101.02371:2292 101.06033:3375 125.02441:4399 127.04026:3189 128.04866:2013 141.92554:1959 154.32944:1882 159.73239:2134 159.77069:2002 271.2287:20417 292.97736:2341 399.27502:3639 417.17114:2425 417.28394:40778 418.28882:3992 561.33002:16413 579.34235:23423 603.34198:3678 621.35095:24755 631.98993:2443 710.44202:2493 769.76288:3460 1053.51721:3158 1055.53125:2610 1069.75891:2958 1111.54517:24090 1137.57703:10857 1154.61755:3883 1155.59033:59211	0	156249	0	397	0
5735	3.558	1155.58069	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	2267.92	20180104_RG_01R	1155.58069:113396 1156.58404:181444 1157.5874:131693		0	113396	0	0	0
5736	3.268	1155.58167	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1509.13	20180104_RG_01R	1155.58167:75457 1156.58502:129507 1157.58838:54607		860	75457	0	0	0
5737	3.416	1155.58289	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	6235.61	20180104_RG_01R	1155.58289:311781 1156.58624:488718 1157.5896:238304	83.01331:2579 85.02879:10447 89.04517:2257 91.99388:3709 92.92748:2421 95.0133:2302 99.00852:2399 99.04498:2776 101.02371:11247 101.06033:10424 113.02483:13562 125.02441:3012 126.53107:2108 130.16658:2028 144.35573:2274 155.28319:2014 192.44899:2372 208.03481:2134 227.20285:3683 229.79436:2211 359.24789:3990 362.06769:2534 366.60593:2365 401.25006:2439 521.29565:3488 567.94977:2435 581.3161:2421 685.48608:2234 696.61798:2213 704.97711:2313 769.78314:3491 790.13409:2258 1099.40295:2785 1111.57141:11625 1137.57703:4152 1155.58606:111724	0	311781	0	0	0
5738	3.008	1155.58606	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	580.82	20180104_RG_01R	1155.58606:29103 1156.58941:42333 1157.59277:16790		0	29103	0	0	485
5739	6.297	1155.6427	Unknown	[M-H]-		0.4	True	null	null	null	null		null	null	null	null	null	47.92	Blank_01_180104225037	1155.6427:132216 1156.64605:166595 1157.64941:180534	88.49129:2161 89.82975:2364 129.3183:1898 226.51544:2325 255.99242:2541 283.93921:2319 433.2785:9819 474.28806:2152 769.3772:3584	0	0	0	132216	11876
5740	4.27	1155.67236	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	367.15	20180104_RG_01R	1155.67236:18357 1156.67571:42579 1157.67907:20609		0	18357	0	0	0
5741	5.488	1156.45105	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	16.1	20180104_RG_01L	1156.45105:35078 1157.4544:15667 1158.45776:12584		35078	599	1604	25681	4412
5742	5.711	1156.46997	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	215.83	20180104_RG_01R	1156.46997:10791 1157.47332:13557 1158.47668:20138		3375	10791	5547	7623	1959
5743	4.432	1156.62292	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	618.73	20180104_RG_01R	1156.62292:30936 1157.62627:29149 1158.62963:20454		0	30936	0	0	448
5744	6.739	1156.69409	Unknown	[M-H2O-H]-	adduct linked to 5794_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	10.49	20180104_RG_01L	1156.69409:20673 1157.69744:49496 1158.7008:104008		20673	3838	0	0	0
5745	6.916	1157.52563	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	15.73	Blank_01_180104205754	1157.52563:30332 1158.52898:31279 1159.53234:17850		0	0	30332	0	0
5746	3.77	1157.54688	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1.51	20180104_RG_01R	1157.54688:15555 1158.55022:27807 1159.55359:18140		0	15555	0	0	0
5747	3.644	1157.59717	Unknown	[M+FA-H]-	adduct linked to 5622_[M-H]-	0.2	True	null	null	null	null		null	null	null	null	null	9.83	20180104_RG_01R	1157.59717:124609 1158.60052:145921 1159.60388:78133	91.99472:13382 102.21112:1962 192.44139:2282 192.45659:2838 417.28433:9004 433.27899:11941 477.54858:2670 543.30817:2350 579.34009:4984 595.33899:2233 762.74084:2514 769.76294:3688 1113.578:10839 1157.62268:14285	0	124609	0	0	0
5748	3.515	1157.59766	Unknown	[M+FA-H]-	adduct linked to 5624_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	4.88	20180104_RG_01R	1157.59766:72065 1158.60101:82470 1159.60437:50084		0	72065	0	0	650
5749	6.951	1157.67273	Unknown	[M-H]-	adduct linked to 5685_[M-H2O-H]-	0.2	False	null	null	null	null		null	null	null	null	null	12.44	Blank_01_180104205754	1157.67273:20372 1158.67608:26864 1159.67944:32402		0	0	20372	8876	0
5750	6.916	1158.6842	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	372.55	Blank_01_180104205754	1158.6842:18627 1159.68755:12494 1160.69091:0		0	2063	18627	11147	0
5751	2.475	1159.54138	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.28	20180104_RG_01R	1159.54138:10885 1160.54473:12318 1161.54809:5584		1314	10885	671	620	550
5752	4.337	1159.55811	Unknown	[M-H]-	adduct linked to 5867_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	15.68	20180104_RG_01R	1159.55811:51998 1160.56146:55012 1161.56482:26654		0	51998	0	0	464
5753	6.792	1160.69141	Unknown	[M+FA-H]-	adduct linked to 5571_[M-H2O-H]-	0.2	False	null	null	null	null		null	null	null	null	null	364.22	20180104_RG_01R	1160.69141:18211 1161.69476:18388 1162.69812:7866		2714	18211	890	0	0
5754	2.155	1161.55908	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	3.98	20180104_RG_01R	1161.55908:19465 1162.56243:22346 1163.56579:13880		312	19465	0	313	1127
5755	2.269	1161.56006	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	10.46	20180104_RG_01R	1161.56006:53498 1162.56341:81143 1163.56677:41908		636	53498	490	313	0
5756	2.414	1161.56018	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	10.25	20180104_RG_01R	1161.56018:55771 1162.56353:89027 1163.56689:48041		0	55771	490	0	0
5757	4.432	1161.56409	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	4.92	20180104_RG_01R	1161.56409:22995 1162.56744:13592 1163.5708:0		0	22995	0	0	0
5758	6.835	1161.6908	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	236.24	20180104_RG_01R	1161.6908:12435 1162.69415:0 1163.69751:0		0	12435	0	0	0
5759	5.783	1161.74292	Unknown	[M-H]-	adduct linked to 5874_[M+FA-H]-	0.4	False	null	null	null	null		null	null	null	null	null	327.79	20180104_RG_01L	1161.74292:20767 1162.74627:36355 1163.74963:47212		20767	0	8215	12012	4327
5760	5.846	1162.46094	Unknown	[M+FA-H]-	adduct linked to 5576_[M-H2O-H]-	0.4	False	null	null	null	null		null	null	null	null	null	10.49	Blank_01_180104225037	1162.46094:30656 1163.46429:22796 1164.46765:24636		2309	246	0	30656	25661
5761	5.82	1162.7406	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	246.98	20180104_RG_01R	1162.7406:13219 1163.74395:13034 1164.74731:8450		14758	13219	11479	11552	3321
5762	6.966	1164.47485	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	27.95	Blank_01_180104205754	1164.47485:55810 1165.4782:86243 1166.48156:49426		25320	0	55810	40005	2460
5763	5.608	1164.47839	Unknown	[M+FA-H]-	adduct linked to 5587_[M-H2O-H]-	0.6	False	null	null	null	null		null	null	null	null	null	18.11	Blank_01_180104225037	1164.47839:61109 1165.48174:73892 1166.4851:36104		55123	0	17172	61109	10134
5764	0.905	1165.39966	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	5.06	20180104_RG_01R	1165.39966:11435 1166.40301:11799 1167.40637:0		0	11435	0	0	0
5765	6.342	1165.47327	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	8.14	20180104_RG_01L	1165.47327:16901 1166.47662:16134 1167.47998:30568		16901	2205	0	0	932
5766	1.357	1165.57031	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	5.82	20180104_RG_01R	1165.57031:24343 1166.57366:41925 1167.57702:36642		0	24343	0	0	336
5767	4.973	1165.60168	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	113.55	20180104_RG_01R	1165.60168:474639 1166.60503:824419 1167.60839:427106	83.16346:2320 85.02879:5309 85.52781:2228 87.00838:3935 87.04458:8931 89.02364:2671 91.99472:12394 95.0133:2257 97.02854:4036 99.04498:5221 101.02371:4047 101.06033:10636 109.02939:2947 113.02482:4058 125.02417:15960 127.04026:4410 143.03548:3934 192.43378:3136 271.22794:42326 289.30649:2638 329.41986:2462 399.28259:10165 417.28897:84385 444.32547:2405 472.24738:2173 504.14081:2519 561.32648:25380 574.67261:2655 579.33899:36105 586.36108:2465 603.34198:8001 621.34387:39654 622.3504:3327 848.20288:2890 963.48889:9181 1052.35034:2691 1063.54443:23885 1065.55017:28462 1083.56567:4597 1147.61548:2821 1165.59973:195481	0	474639	0	0	0
5768	6.368	1165.67639	Unknown	[M+FA-H]-	adduct linked to 5643_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	25.07	Blank_01_180104225037	1165.67639:65755 1166.67974:82949 1167.6831:43860		0	0	0	65755	8399
5769	4.115	1167.57703	Unknown	[M-H]-	adduct linked to 5896_[M+FA-H]-	0.2	True	null	null	null	null		null	null	null	null	null	73.76	20180104_RG_01R	1167.57703:768330 1168.58038:1288877 1169.58374:794171	81.03403:4653 83.01331:2947 85.02879:8957 87.00838:8774 91.99388:5045 97.02944:11957 99.04498:11118 101.02371:10355 101.55168:2144 113.02482:10587 117.05512:3522 125.02368:27814 126.03299:3235 127.04025:13241 139.03996:3694 143.03548:4226 212.78845:2143 253.21803:3097 271.22864:62220 389.25101:2773 399.27872:14616 417.28943:106712 561.32812:34337 579.33673:63190 603.34192:9482 621.3465:49115 677.3866:3178 686.13348:3012 949.45905:4892 967.47296:3693 993.50696:3233 1023.52069:15111 1049.53857:8344 1067.53992:35089 1093.54773:13962 1111.57129:10064 1123.54871:79811 1124.55078:3245 1149.58643:22747 1167.56555:153626	486	768330	0	0	0
5770	4.193	1167.57812	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	73.61	20180104_RG_01R	1167.57812:744665 1168.58148:1080561 1169.58484:742942		486	744665	0	0	0
5771	3.999	1167.57825	Unknown	[M-H]-	found in higher mz's MsMs_6091; found in higher mz's MsMs_6067; found in higher mz's MsMs_6320	0.2	False	null	null	null	null		null	null	null	null	null	2.37	20180104_RG_01R	1167.57825:43439 1168.5816:81633 1169.58496:57198		0	43439	0	0	0
5772	3.537	1167.58582	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	226.89	20180104_RG_01R	1167.58582:11345 1168.58917:0 1169.59253:25448		0	11345	0	0	0
5773	5.081	1167.61646	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	1716.65	20180104_RG_01R	1167.61646:85833 1168.61981:182130 1169.62317:94441	85.52181:2764 90.66508:1893 94.58602:2100 96.45269:2260 98.28267:1896 119.30598:1997 126.96559:2102 144.83073:2003 192.42873:2491 263.28598:2316 321.785:2453 323.03711:2137 417.29242:4065 524.01593:2306 719.98572:2336 782.54132:2509 783.01917:2471 835.68939:3111 1167.60327:12711	0	85833	0	0	0
5774	4.403	1167.62024	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	16.93	20180104_RG_01R	1167.62024:171244 1168.62359:241986 1169.62695:114612	83.9627:1837 85.51731:2880 89.1976:2335 92.50828:1943 100.52853:1918 101.02372:2086 101.06033:2370 192.411:2808 285.24594:15157 313.99014:2163 431.29938:32559 575.33972:4536 593.36145:23795 619.35681:2675 769.58063:2943 769.70215:3619 830.0575:2685 1067.57166:4519 1123.58557:14024 1149.60962:8814 1167.61694:34963	0	171244	0	0	452
5775	5.781	1168.73706	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	415.21	Blank_01_180104225037	1168.73706:20760 1169.74041:30679 1170.74377:34434		0	0	0	20760	11442
5776	6.611	1168.8645	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	850.21	Blank_01_180104225037	1168.8645:48883 1169.86785:54413 1170.87121:54904		0	2469	599	48883	16276
5777	6.859	1168.89453	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	2249.24	20180104_RG_01R	1168.89453:112462 1169.89788:195423 1170.90124:90121	85.53007:2396 92.00309:4783 148.00012:2239 155.13278:2572 178.20563:2093 192.44139:3126 227.92578:2390 325.18469:4239 455.35727:86558 456.36346:3082 712.53033:3032 769.76294:4864 836.99683:2682	0	112462	0	1045	0
5778	3.085	1169.56287	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1.95	20180104_RG_01R	1169.56287:38617 1170.56622:44839 1171.56958:20590		0	38617	315	0	0
5779	3.214	1169.56323	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	0.99	20180104_RG_01R	1169.56323:19719 1170.56658:28082 1171.56994:23916		0	19719	343	0	0
5780	4.286	1169.59668	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	18.53	20180104_RG_01R	1169.59668:368959 1170.60003:530682 1171.60339:298493	82.12791:2019 85.52256:2197 111.97105:1838 121.11504:2071 125.02441:3832 129.69032:2877 140.63841:2246 159.32336:2146 177.08934:2528 271.22989:19937 312.20856:2390 403.27054:4060 417.28485:26420 432.15189:2314 561.3316:12646 565.32678:2859 579.34009:12658 603.35602:2610 612.88666:2217 621.34888:15681 731.99084:3087 769.66162:3710 934.70288:2652 1051.50891:7966 1069.52661:3671 1125.56531:25632 1126.55676:2850 1151.57178:5260 1169.58423:53363	0	368959	0	0	0
5781	3.736	1169.5968	Unknown	[M-H]-	similar chromatogram in higher mz_5932; similar chromatogram in higher mz_6016; similar chromatogram in higher mz_6184; similar chromatogram in higher mz_6409	0.2	True	null	null	null	null		null	null	null	null	null	92.82	20180104_RG_01R	1169.5968:1842694 1170.60015:2951324 1171.60351:1713416	83.35588:1897 113.02369:2371 125.02441:4272 145.99173:2372 148.5396:2209 192.44392:2294 271.23004:14954 293.39645:2178 415.27014:4080 433.2793:44774 496.22491:2864 577.32153:4522 595.34113:23317 769.70215:3004 812.48792:3220 1125.55322:14633 1151.57178:2942 1169.58484:34512	0	1842694	0	0	0
5782	3.428	1169.60071	Unknown	[M-H2O-H]-	adduct linked to 5826_[M-H]-; similar chromatogram in higher mz_6506	0.2	False	null	null	null	null		null	null	null	null	null	3.73	20180104_RG_01R	1169.60071:74118 1170.60406:91114 1171.60742:40110		877	74118	0	0	0
5783	6.354	1170.43091	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	287.44	20180104_RG_01L	1170.43091:14372 1171.43426:26603 1172.43762:43853		14372	4945	0	0	0
5784	3.788	1171.53455	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	6.69	20180104_RG_01R	1171.53455:29871 1172.5379:50288 1173.54126:51346		0	29871	0	0	0
5785	2.529	1171.54016	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	0.77	20180104_RG_01R	1171.54016:13244 1172.54351:18122 1173.54687:0		442	13244	566	0	755
5786	3.829	1171.60962	Unknown	[M+FA-H]-	adduct linked to 5653_[M-H]-	0.2	True	null	null	null	null		null	null	null	null	null	13610.9	20180104_RG_01R	1171.60962:680545 1172.61297:1022429 1173.61633:494068	85.02879:3373 85.51955:2311 87.00838:2004 89.02364:2239 91.56101:2164 101.02371:9936 101.06033:11712 109.16451:2258 113.02368:5134 125.0244:11589 127.0389:2156 139.03998:2339 150.3943:2240 157.75359:2608 177.04239:2101 192.41859:2617 271.22833:44499 347.02515:2375 360.04367:2771 415.267:14733 416.27539:2217 417.28967:28233 433.28525:86950 577.33466:11985 579.33887:23067 595.33557:42646 707.61237:2770 825.94409:2747 831.44305:2572 937.58295:2469 1025.51062:12572 1053.54968:3227 1069.52661:10489 1071.55347:8218 1083.56567:8105 1109.57019:4514 1127.59668:61356 1153.61096:14472 1171.62476:111774	0	680545	0	0	900
5787	3.829	1171.66663	Unknown	[M+FA-H]-	adduct linked to 5653_[M-H]-	0.2	False	null	null	null	null		null	null	null	null	null	217.2	20180104_RG_01R	1171.66663:10860 1172.66998:9137 1173.67334:11332		0	10860	0	0	0
5788	3.782	1172.61938	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	42.7	20180104_RG_01R	1172.61938:165051 1173.62273:163002 1174.62609:60163		0	165051	572	0	0
5789	5.866	1172.77063	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	380.08	20180104_RG_01R	1172.77063:19004 1173.77398:39449 1174.77734:17715		0	19004	0	2468	0
5790	0.988	1173.17334	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	306.35	20180104_RG_01R	1173.17334:15317 1174.17669:37052 1175.18005:18422		0	15317	0	0	0
5791	4.486	1173.56726	Unknown	[M-H]-	adduct linked to 5907_[M+FA-H]-	0.2	True	null	null	null	null		null	null	null	null	null	100.97	20180104_RG_01R	1173.56726:307861 1174.57061:331121 1175.57397:122381	100.98038:1868 101.09214:1945 111.32981:2109 113.02369:2131 125.02441:2701 132.35481:2157 175.65842:2085 175.90823:2220 210.66678:2369 244.8611:2268 291.19687:7683 293.2106:13688 302.70306:2720 389.77609:2109 424.72449:2700 439.26962:14838 547.29431:2634 559.33105:2780 583.31555:8216 601.32269:2861 975.45789:2606	0	307861	0	0	0
5792	3.673	1173.62244	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	4.81	20180104_RG_01R	1173.62244:14680 1174.62579:11821 1175.62915:7961		0	14680	0	0	0
5793	6.706	1173.67651	Unknown	[M-H]-		0.4	False	null	null	null	null		null	null	null	null	null	12.83	Blank_01_180104225037	1173.67651:30561 1174.67986:28486 1175.68322:22064		3111	0	0	30561	13541
5794	6.739	1174.70325	Unknown	[M-H]-	adduct linked to 5744_[M-H2O-H]-	0.2	False	null	null	null	null		null	null	null	null	null	472.38	20180104_RG_01L	1174.70325:23619 1175.7066:49230 1176.70996:13579		23619	0	0	8590	2933
5795	4.151	1175.58435	Unknown	[M-H]-	adduct linked to 5913_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	10.63	20180104_RG_01R	1175.58435:28879 1176.5877:67199 1177.59106:45024		0	28879	0	0	0
5796	4.591	1175.58435	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	49.85	20180104_RG_01R	1175.58435:132430 1176.5877:361040 1177.59106:242764		0	132430	0	0	0
5797	4.151	1177.56006	Unknown	[M-H2O-H]-	adduct linked to 5844_[M-H]-; adduct linked to 5985_[M+FA-H]-	0.2	False	null	null	null	null		null	null	null	null	null	524.4	20180104_RG_01R	1177.56006:26220 1178.56341:54901 1179.56677:47009		0	26220	0	0	0
5798	4.944	1177.60364	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	229.67	20180104_RG_01R	1177.60364:12689 1178.60699:30996 1179.61035:27071		319	12689	0	0	0
5799	5.735	1178.38293	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	202.82	20180104_RG_01R	1178.38293:10141 1179.38628:12810 1180.38964:28710		1759	10141	0	7429	1070
5800	1.513	1179.37854	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	277.87	20180104_RG_01R	1179.37854:13894 1180.38189:47609 1181.38525:28814		0	13894	0	0	0
5801	4.25	1179.58154	Unknown	[M-H]-		0.2	True	null	null	null	null		null	null	null	null	null	3791.58	20180104_RG_01R	1179.58154:190315 1180.58489:490346 1181.58825:1431137	85.51506:2120 99.04498:4399 101.02371:2986 113.02369:3542 125.02441:3803 130.02863:1975 271.2298:23525 281.20898:2305 341.73892:2483 403.26904:46454 509.27982:2622 547.30646:9018 565.32373:17546 607.34332:21569 696.06018:2744 704.71082:2806 906.87659:2491 1035.52112:3581 1079.51685:12078 1135.55957:17456 1161.57129:3416 1164.5437:2702 1179.5885:58532	0	190315	0	0	0
5802	5.147	1179.60889	Unknown	[M-H]-	found in higher mz's MsMs_6093	0.2	True	null	null	null	null		null	null	null	null	null	4939.02	20180104_RG_01R	1179.60889:246951 1180.61224:797476 1181.6156:362443	85.51581:2373 106.83411:2247 111.67045:2010 125.02441:3029 192.41606:2302 271.23007:2804 417.29242:3290 652.52191:2753 769.60089:3879 1179.64075:16021	0	246951	0	0	0
5803	3.788	1181.55469	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	1651.75	20180104_RG_01R	1181.55469:82587 1182.55804:97371 1183.5614:53883		483	82587	0	0	925
5804	4.337	1181.6001	Unknown	[M-H]-	adduct linked to 5931_[M+FA-H]-; adduct linked to 5936_[M+FA-H]-; similar chromatogram in higher mz_5806; similar chromatogram in higher mz_5957; similar chromatogram in higher mz_6052; similar chromatogram in higher mz_6098; similar chromatogram in higher mz_6161; similar chromatogram in higher mz_6385; similar chromatogram in higher mz_6452; similar chromatogram in higher mz_6788; found in higher mz's MsMs_6000; found in higher mz's MsMs_5976	0.2	True	null	null	null	null		null	null	null	null	null	289542.5	20180104_RG_01R	1181.6001:14534948 1182.60345:13716756 1183.60681:7569828	83.01338:26427 83.04842:10531 84.02033:5176 85.02876:93759 87.00759:59432 87.04445:66658 89.02348:19555 95.01321:20251 97.0284:82385 99.00817:22598 99.04477:101882 101.02349:82195 101.06036:19785 109.02824:18795 111.04391:5177 112.01483:12110 113.02332:78196 115.03918:5373 117.05482:33518 119.03442:6188 123.04442:15334 124.01543:24478 125.02383:187045 126.03157:27981 127.03984:68506 139.039:41536 143.03479:52873 145.0508:9188 149.02324:5244 151.04013:6617 161.04445:10552 253.21864:41447 271.22626:502306 272.2327:15501 285.24265:26156 313.23752:43942 383.28107:5406 385.26224:34321 399.27475:124467 403.27045:201841 404.27853:5080 417.28433:833140 418.28757:37781 441.28458:17437 445.27737:9449 459.30167:25715 525.31097:22231 543.31964:28748 547.31677:41830 561.33075:256997 562.32922:14569 565.32587:66148 579.33948:391186 580.34467:28459 603.3407:73544 607.34003:67341 621.34955:460129 622.3515:26755 691.39362:29907 703.39899:16470 837.43292:6009 893.4519:16319 949.45691:39924 963.48834:16034 975.48621:11943 981.49756:39568 993.50238:35106 999.50433:13038 1035.52051:5214 1037.51575:110850 1038.53003:12454 1049.50623:64259 1055.53015:26080 1063.54785:87556 1064.53369:10569 1067.53796:4982 1075.52344:14717 1079.51611:16743 1081.53931:265032 1082.54895:37232 1093.54993:102224 1094.54272:11007 1095.57397:10517 1097.53735:6258 1099.54871:34234 1111.57068:10333 1137.57703:628987 1138.55933:82345 1163.60156:230032 1164.58398:32992 1181.58093:1391691	0	14534948	820	0	0
5805	5.276	1181.63403	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	637.05	20180104_RG_01R	1181.63403:31853 1182.63738:41939 1183.64074:23811		0	31853	0	0	0
5806	4.337	1181.66748	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	848.86	20180104_RG_01R	1181.66748:42443 1182.67083:88557 1183.67419:26214		0	42443	183	0	0
5807	6.374	1182.65918	Unknown	[M-H]-		0.2	False	null	null	null	null		null	null	null	null	null	32.97	Blank_01_180104225037	1182.65918:59879 1183.66253:64874 1184.66589:33647		0	0	0	59879	4741
